Feature,Importance
MCV,0.1578885197044021
HGB,0.1343989757495656
MCH,0.12942138123148933
WBC,0.11878646319562597
PLT,0.11515653832589795
MCHC,0.09096066431120035
RBC,0.07809745611084862
HCT,0.03770906503523318
NEUTn,0.036797796047758576
PCT,0.03521165970474081
LYMp,0.019561259979241994
LYMn,0.018842474070422652
NEUTp,0.01814025748515781
PDW,0.00902748904841526
